Donor	Sample	Species	Assay	Consortium	EpiRR Record
S00R9F	ERS523682	human	H3K27ac	Blueprint	IHECRE00002499
S00RAD	ERS523695	human	H3K27ac	Blueprint	IHECRE00002683
S00RBB	ERS523704	human	H3K27ac	Blueprint	IHECRE00002618
S00RC9	ERS523715	human	H3K27ac	Blueprint	IHECRE00002331
S00RD7	ERS523726	human	H3K27ac	Blueprint	IHECRE00002686
S00RMQ	ERS523738	human	H3K27ac	Blueprint	IHECRE00002303
S00S2P	ERS523747	human	H3K27ac	Blueprint	IHECRE00002522
S00S4L	ERS523758	human	H3K27ac	Blueprint	IHECRE00002485
S00S6H	ERS523769	human	H3K27ac	Blueprint	IHECRE00002719
S00S7F	ERS523780	human	H3K27ac	Blueprint	IHECRE00002465
S00SE1	ERS523790	human	H3K27ac	Blueprint	IHECRE00002338
S00SHW	ERS523804	human	H3K27ac	Blueprint	IHECRE00002662
S00SJS	ERS523816	human	H3K27ac	Blueprint	IHECRE00002640
S00SMM	ERS523825	human	H3K27ac	Blueprint	IHECRE00002693
S00SPG	ERS523836	human	H3K27ac	Blueprint	IHECRE00002589
S00SV4	ERS523846	human	H3K27ac	Blueprint	IHECRE00002210
S00SX0	ERS523856	human	H3K27ac	Blueprint	IHECRE00002486
S00SYZ	ERS523867	human	H3K27ac	Blueprint	IHECRE00002368
S00T4H	ERS642887	human	H3K27ac	Blueprint	IHECRE00002327
S00T5F	ERS642899	human	H3K27ac	Blueprint	IHECRE00002349
S00T6D	ERS642910	human	H3K27ac	Blueprint	IHECRE00002289
S00TA5	ERS642922	human	H3K27ac	Blueprint	IHECRE00002519
S00TT4	ERS642934	human	H3K27ac	Blueprint	IHECRE00002379
S00U1J	ERS642945	human	H3K27ac	Blueprint	IHECRE00002670
S00U3F	ERS642957	human	H3K27ac	Blueprint	IHECRE00002605
S00U5B	ERS642965	human	H3K27ac	Blueprint	IHECRE00002663
S00U77	ERS642973	human	H3K27ac	Blueprint	IHECRE00002672
S00U93	ERS642981	human	H3K27ac	Blueprint	IHECRE00002299
S00UKI	ERS643000	human	H3K27ac	Blueprint	IHECRE00002198
S00UME	ERS643013	human	H3K27ac	Blueprint	IHECRE00002242
S00V57	ERS643034	human	H3K27ac	Blueprint	IHECRE00002248
S00V65	ERS643048	human	H3K27ac	Blueprint	IHECRE00002461
S00VGM	ERS643060	human	H3K27ac	Blueprint	IHECRE00002586
S00VVT	ERS643070	human	H3K27ac	Blueprint	IHECRE00002599
S00WKA	ERS643108	human	H3K27ac	Blueprint	IHECRE00002325
S00WP0	ERS643121	human	H3K27ac	Blueprint	IHECRE00002594
S00WTT	ERS643158	human	H3K27ac	Blueprint	IHECRE00002506
S00XGE	ERS643186	human	H3K27ac	Blueprint	IHECRE00002568
S00XK6	ERS643213	human	H3K27ac	Blueprint	IHECRE00002727
S00XRT	ERS643228	human	H3K27ac	Blueprint	IHECRE00002414
S00YCI	ERS643254	human	H3K27ac	Blueprint	IHECRE00002265
S00YEE	ERS643266	human	H3K27ac	Blueprint	IHECRE00002168
S00YH8	ERS643287	human	H3K27ac	Blueprint	IHECRE00002418
S00YK2	ERS643299	human	H3K27ac	Blueprint	IHECRE00002164
S00YVH	ERS643329	human	H3K27ac	Blueprint	IHECRE00002204
S0100M	ERS643345	human	H3K27ac	Blueprint	IHECRE00002714
S010B0	ERS643359	human	H3K27ac	Blueprint	IHECRE00002527
S011JH	ERS643442	human	H3K27ac	Blueprint	IHECRE00002213
S01246	ERS643471	human	H3K27ac	Blueprint	IHECRE00002378
S0130A	ERS696967	human	H3K27ac	Blueprint	IHECRE00002261
S01342	ERS696979	human	H3K27ac	Blueprint	IHECRE00002621
S0137X	ERS696992	human	H3K27ac	Blueprint	IHECRE00002353
S013CN	ERS697005	human	H3K27ac	Blueprint	IHECRE00002173
S013K7	ERS697043	human	H3K27ac	Blueprint	IHECRE00002402
