Donor	Sample	Species	Assay	Consortium	EpiRRRecord
S00U1J	ERS642947	human	H3K27ac	Blueprint	IHECRE00002563
S00U3F	ERS642958	human	H3K27ac	Blueprint	IHECRE00002632
S00U5B	ERS642967	human	H3K27ac	Blueprint	IHECRE00002496
S00U77	ERS642975	human	H3K27ac	Blueprint	IHECRE00002255
S00U93	ERS642983	human	H3K27ac	Blueprint	IHECRE00002516
S00UKI	ERS643002	human	H3K27ac	Blueprint	IHECRE00002262
S00UME	ERS643012	human	H3K27ac	Blueprint	IHECRE00002250
S00V57	ERS643036	human	H3K27ac	Blueprint	IHECRE00002582
S00V65	ERS643050	human	H3K27ac	Blueprint	IHECRE00002364
S00VGM	ERS643062	human	H3K27ac	Blueprint	IHECRE00002691
S00VVT	ERS643072	human	H3K27ac	Blueprint	IHECRE00002575
S00W29	ERS643084	human	H3K27ac	Blueprint	IHECRE00002462
S00W45	ERS643095	human	H3K27ac	Blueprint	IHECRE00002558
S00WKA	ERS643110	human	H3K27ac	Blueprint	IHECRE00002483
S00WP0	ERS643123	human	H3K27ac	Blueprint	IHECRE00002490
S00WQZ	ERS643135	human	H3K27ac	Blueprint	IHECRE00002388
S00WTT	ERS643160	human	H3K27ac	Blueprint	IHECRE00002305
S00XHC	ERS643200	human	H3K27ac	Blueprint	IHECRE00002335
S00XK6	ERS643212	human	H3K27ac	Blueprint	IHECRE00002649
S00XRT	ERS643230	human	H3K27ac	Blueprint	IHECRE00002666
S00YBK	ERS643244	human	H3K27ac	Blueprint	IHECRE00002401
S00YCI	ERS643256	human	H3K27ac	Blueprint	IHECRE00002252
S00YEE	ERS643268	human	H3K27ac	Blueprint	IHECRE00002588
S00YH8	ERS643289	human	H3K27ac	Blueprint	IHECRE00002655
S00YK2	ERS643301	human	H3K27ac	Blueprint	IHECRE00002598
S00YRP	ERS643316	human	H3K27ac	Blueprint	IHECRE00002302
S00YVH	ERS643331	human	H3K27ac	Blueprint	IHECRE00002321
S0100M	ERS643347	human	H3K27ac	Blueprint	IHECRE00002283
S010B0	ERS643361	human	H3K27ac	Blueprint	IHECRE00002545
