Donor	Sample	Species	Assay	Consortium	EpiRR Record
S00NQY	ERS487406	human	H3K4me1	Blueprint	IHECRE00002583	Metadata
S00JU5	ERS433887	human	H3K4me1	Blueprint	IHECRE00002507	Metadata
S00PED	ERS487546	human	H3K4me1	Blueprint	IHECRE00002602	Metadata
S00YVH	ERS643329	human	H3K4me1	Blueprint	IHECRE00002204	Metadata
S00F9Q	ERS391276	human	H3K4me1	Blueprint	IHECRE00002609	Metadata
S00K4G	ERS433922	human	H3K4me1	Blueprint	IHECRE00002234	Metadata
S00SV4	ERS523846	human	H3K4me1	Blueprint	IHECRE00002210	Metadata
S00M2C	ERS441510	human	H3K4me1	Blueprint	IHECRE00002443	Metadata
S00RBB	ERS523704	human	H3K4me1	Blueprint	IHECRE00002618	Metadata
S00SPG	ERS523836	human	H3K4me1	Blueprint	IHECRE00002589	Metadata
S00GBI	ERS422300	human	H3K4me1	Blueprint	IHECRE00002548	Metadata
S00V57	ERS643034	human	H3K4me1	Blueprint	IHECRE00002248	Metadata
S00U3F	ERS642957	human	H3K4me1	Blueprint	IHECRE00002605	Metadata
S00PBJ	ERS487514	human	H3K4me1	Blueprint	IHECRE00002215	Metadata
S00GSL	ERS422329	human	H3K4me1	Blueprint	IHECRE00002554	Metadata
S00U1J	ERS642945	human	H3K4me1	Blueprint	IHECRE00002670	Metadata
S00S6H	ERS523769	human	H3K4me1	Blueprint	IHECRE00002719	Metadata
S00WRX	ERS643145	human	H3K4me1	Blueprint	IHECRE00002377	Metadata
S00VGM	ERS643060	human	H3K4me1	Blueprint	IHECRE00002586	Metadata
S00SHW	ERS523804	human	H3K4me1	Blueprint	IHECRE00002662	Metadata
S00SYZ	ERS523867	human	H3K4me1	Blueprint	IHECRE00002368	Metadata
S00U93	ERS642981	human	H3K4me1	Blueprint	IHECRE00002299	Metadata
S00NUQ	ERS487425	human	H3K4me1	Blueprint	IHECRE00002249	Metadata
S00NRW	ERS487415	human	H3K4me1	Blueprint	IHECRE00002270	Metadata
S00V65	ERS643048	human	H3K4me1	Blueprint	IHECRE00002461	Metadata
S00N7Z	ERS487362	human	H3K4me1	Blueprint	IHECRE00002239	Metadata
S00JV3	ERS433896	human	H3K4me1	Blueprint	IHECRE00002617	Metadata
S00KKL	ERS441455	human	H3K4me1	Blueprint	IHECRE00002259	Metadata
S00U5B	ERS642965	human	H3K4me1	Blueprint	IHECRE00002663	Metadata
S0130A	ERS696967	human	H3K4me1	Blueprint	IHECRE00002261	Metadata
S011AZ	ERS643408	human	H3K4me1	Blueprint	IHECRE00002464	Metadata
S011JH	ERS643442	human	H3K4me1	Blueprint	IHECRE00002213	Metadata
S01342	ERS696979	human	H3K4me1	Blueprint	IHECRE00002621	Metadata
S01238	ERS643460	human	H3K4me1	Blueprint	IHECRE00002550	Metadata
S013CN	ERS697005	human	H3K4me1	Blueprint	IHECRE00002173	Metadata
S01246	ERS643471	human	H3K4me1	Blueprint	IHECRE00002378	Metadata
S0137X	ERS696992	human	H3K4me1	Blueprint	IHECRE00002353	Metadata
